#OTU ID	ERR8056034	ERR8056035	ERR8056037	ERR8056042	ERR8056045	ERR8056051	ERR8056057	ERR8056066	ERR8056069	ERR8056078
Otu3	6943	2068	5629	1099	47	60	391	9	85	31
Otu197	164	0	1	2	0	6	0	0	0	0
Otu26	2680	74	101	38	91	60	0	0	14	0
Otu2	16814	20	197	3	6	9	54	1	1	30
Otu32	2601	15	33	214	7	0	491	0	2	0
Otu1	8683	1379	4490	5168	5306	338	6732	18	22575	37
Otu8	3819	293	656	11	9	187	16	0	10	0
Otu45	256	146	511	13	23	20	0	0	0	0
Otu30	688	189	440	887	3	41	7	0	8	12
Otu408	4	4	1	5	4	70	0	0	0	0
Otu86	1750	127	123	83	96	92	230	4	138	15
Otu16	1505	469	330	359	119	222	48	20	41	28
Otu2035	16	0	0	0	0	0	0	0	0	0
Otu34	961	852	505	1612	358	398	164	45	160	70
Otu21	442	0	1506	288	30	1	657	0	57	2
Otu446	144	25	41	13	76	21	39	6	18	5
Otu1324	2	20	0	4	0	0	0	0	0	0
Otu5309	3	0	0	0	0	0	0	0	0	0
Otu72	650	16	34	78	8	116	0	0	3	0
Otu118	288	170	337	77	12	73	4	0	2	8
Otu38	545	464	19	4	1	8	2	0	1	4
Otu3135	1	10	2	1	0	0	0	0	0	0
Otu194	144	0	3	0	0	0	0	0	0	0
Otu1250	17	4	7	1	0	0	0	0	0	0
Otu7287	678	315	1150	837	93	183	172	14	82	11
Otu1247	20	6	12	0	0	3	0	0	0	0
Otu131	164	9	2	29	6	1	2	5	0	1
Otu528	32	65	34	7	1	15	0	0	1	0
Otu13	117	17	72	44	2639	4	1198	5	842	226
Otu274	108	0	0	0	0	0	0	0	0	0
Otu308	177	480	407	240	88	412	246	58	157	110
Otu337	3	34	42	9	67	57	0	0	0	0
Otu2699	2	2	1	4	1	10	0	0	0	0
Otu69	2	348	20	39	15	69	0	0	0	0
Otu3940	3	0	0	0	0	0	0	0	4	0
Otu741	1	43	31	8	0	0	0	0	0	0
Otu279	52	28	130	0	6	5	0	0	0	0
Otu398	70	0	0	1	0	0	0	0	0	0
Otu1116	28	0	0	0	0	40	0	0	0	0
Otu321	75	0	3	1	0	0	0	0	0	0
Otu738	16	15	9	2	22	10	4	0	57	6
Otu322	94	1	0	0	0	3	0	0	0	0
Otu62	361	0	0	10	0	2	1	0	0	0
Otu503	5	9	3	0	5	48	1	0	0	0
Otu5	62	2776	20	5221	21	53	69	2	5	1
Otu413	1	74	0	7	0	22	0	0	0	0
Otu740	19	3	36	7	0	36	0	0	9	0
Otu162	116	111	86	38	414	303	15	0	24	0
Otu1432	24	0	0	0	0	0	0	0	0	0
Otu1092	4	58	4	1	0	16	0	0	0	0
Otu101	33	373	31	7	0	75	0	1	0	4
Otu550	115	16	112	0	1	4	0	0	0	0
Otu482	18	0	0	0	2	35	0	0	0	0
Otu155	25	95	1	2	4	77	0	0	0	0
Otu4579	7	0	0	0	0	0	0	0	0	0
Otu327	89	6	23	0	0	0	0	0	0	0
Otu4575	3	0	2	0	1	0	0	0	0	0
Otu1186	8	0	0	15	14	8	0	0	0	0
Otu168	169	0	0	0	0	0	0	0	0	0
Otu452	129	28	11	6	15	35	0	0	4	0
Otu4798	7	0	0	0	0	0	0	0	0	0
Otu1075	12	3	1	0	0	0	0	0	0	0
Otu110	106	35	10	0	101	78	0	1	0	0
Otu1415	10	0	2	0	0	0	0	0	0	0
Otu61	133	76	198	23	24	126	39	21	44	21
Otu57	135	224	200	119	26	159	7	0	16	1
Otu2107	8	0	0	0	3	0	0	0	0	0
Otu2147	6	1	0	0	1	13	0	0	1	0
Otu174	32	9	8	20	40	131	4	6	10	12
Otu2401	16	1	1	0	0	8	0	0	0	0
Otu5432	16	88	17	11	1	15	0	0	0	0
Otu329	98	4	6	0	0	2	0	0	0	0
Otu167	276	2	6	0	1	0	0	0	0	0
Otu807	17	31	6	10	1	28	23	0	5	0
Otu454	11	61	0	9	11	46	0	0	0	0
Otu7330	53	0	2	2	0	3	1	0	0	0
Otu418	61	0	0	0	0	1	0	0	0	0
Otu857	29	0	0	6	9	0	0	0	0	0
Otu67	310	140	326	29	37	100	123	22	31	16
Otu4787	61	1	1	2	1	0	0	0	0	0
Otu367	11	55	4	95	140	51	0	0	0	0
Otu18	65	170	20	73	27	17	121	916	169	347
Otu693	21	111	21	5	0	30	0	0	1	23
Otu1182	1	24	0	3	5	0	0	0	0	0
Otu177	62	23	60	4	3	20	11	45	2	53
Otu720	26	5	2	0	8	7	0	0	5	0
Otu866	45	0	0	2	0	0	0	0	0	0
Otu595	2	0	0	0	3	0	0	3	4	28
Otu17	194	171	383	156	1093	2	198	0	648	18
Otu3350	8	0	0	0	0	0	0	0	0	0
Otu169	100	18	10	128	47	221	6	0	90	13
Otu231	15	300	19	12	3	53	0	0	0	0
Otu502	101	10	39	1	2	4	2	0	0	7
Otu5841	6	0	0	0	0	0	0	0	0	0
Otu7251	3	0	2	6	3	2	3	1	0	1
Otu6603	82	2	13	4	25	7	0	1	0	1
Otu166	159	80	77	288	56	162	17	66	56	44
Otu51	73	189	417	235	453	198	271	1	112	16
Otu560	21	46	17	85	17	56	0	0	2	0
Otu881	23	0	0	0	0	0	0	0	0	0
Otu1143	13	0	0	0	0	0	0	0	0	0
Otu305	67	3	0	1	1	16	0	0	0	0
Otu561	3	2	8	1	3	46	2	0	5	0
Otu390	66	0	0	0	0	0	0	0	0	0
