#OTU ID	ERR8056034	ERR8056035	ERR8056037	ERR8056042	ERR8056045	ERR8056051	ERR8056057	ERR8056066	ERR8056069	ERR8056078
Zotu3	6941	2064	4971	1014	29	47	363	7	70	29
Zotu372	150	0	1	2	0	0	0	0	0	0
Zotu41	1378	2	0	14	1	9	0	0	0	0
Zotu43	587	1	1	209	6	0	493	0	2	0
Zotu2	14845	10	14	0	0	0	6	1	0	4
Zotu4	2520	301	225	2722	303	143	4336	0	2352	3
Zotu11	3171	280	478	11	5	182	16	0	10	0
Zotu1126	32	11	1	3	2	2	0	0	0	0
Zotu1	4471	397	2408	761	2846	14	415	11	12804	2
Zotu10	468	336	1388	436	771	37	394	0	670	6
Zotu51	680	62	411	53	2	3	3	0	5	1
Zotu367	2	87	11	16	1	28	4	0	4	0
Zotu54	1034	7	5	4	0	8	0	0	0	0
Zotu55	1043	15	31	6	0	0	0	0	0	0
Zotu25	1413	233	104	127	13	11	0	0	1	0
Zotu6	1270	158	10	417	560	141	1453	2	2790	0
Zotu60	652	58	45	25	18	14	3	0	1	0
Zotu88	490	5	69	0	0	1	0	0	0	0
Zotu66	754	0	1	0	0	0	0	0	0	0
Zotu71	450	0	211	27	0	0	0	0	0	0
Zotu78	170	94	391	5	1	12	0	0	0	0
Zotu214	134	22	22	11	27	13	13	6	12	6
Zotu3171	2	20	0	4	0	0	0	0	0	0
Zotu423	104	1	5	3	2	10	0	0	0	0
Zotu50	1048	57	94	6	22	34	0	0	4	0
Zotu138	380	0	0	0	0	12	0	0	0	0
Zotu21	1952	10	184	3	6	9	48	0	1	26
Zotu598	83	0	2	0	0	0	0	0	0	0
Zotu200	226	5	24	4	4	1	0	0	0	0
Zotu153	307	0	0	0	0	0	1	0	0	0
Zotu180	246	3	3	0	0	0	0	0	1	0
Zotu368	144	0	3	0	0	0	0	0	0	0
Zotu2986	11	3	4	0	0	0	0	0	0	0
Zotu47	218	105	821	101	0	10	0	0	0	0
Zotu69	239	466	19	7	1	8	1	0	1	4
Zotu2978	19	6	12	0	0	3	0	0	0	0
Zotu305	78	6	84	0	4	4	0	0	0	0
Zotu242	164	9	2	29	6	1	1	0	0	3
Zotu22	117	17	53	31	35	3	1116	1	594	179
Zotu1463	23	8	14	0	0	0	0	0	0	0
Zotu543	89	0	0	0	0	0	0	0	0	0
Zotu100	27	239	178	62	8	14	0	2	4	0
Zotu678	3	15	28	6	13	23	0	0	0	0
Zotu131	2	294	19	34	11	52	0	0	0	0
Zotu2061	13	0	4	11	0	0	0	0	0	0
Zotu4107	1	12	0	1	0	0	0	0	0	0
Zotu551	32	1	49	0	0	2	0	0	0	0
Zotu824	70	0	0	1	0	0	0	0	0	0
Zotu1926	29	0	0	0	0	0	0	0	0	0
Zotu229	206	6	4	0	1	1	0	0	1	0
Zotu631	75	0	3	1	0	0	0	0	0	0
Zotu1673	13	2	1	0	2	1	1	0	20	0
Zotu651	80	0	2	0	1	0	0	0	0	0
Zotu632	85	0	0	0	0	0	0	0	0	0
Zotu119	361	0	0	0	0	0	0	0	0	0
Zotu35	48	529	245	466	22	116	13	0	20	1
Zotu1078	5	9	3	0	5	48	1	0	0	0
Zotu7	60	1678	17	3340	21	32	69	2	5	1
Zotu2341	1	18	0	6	0	10	7	0	0	0
Zotu945	4	15	39	10	0	4	0	0	0	0
Zotu1679	4	1	19	2	0	17	0	0	0	0
Zotu557	63	8	0	0	9	3	0	0	0	0
Zotu3469	24	0	0	0	0	0	0	0	0	0
Zotu4441	2	11	0	0	0	3	0	0	0	0
Zotu181	23	224	21	2	0	0	0	0	0	0
Zotu62	273	85	275	142	1	4	32	4	16	0
Zotu3671	11	0	1	0	0	0	0	0	0	0
Zotu1025	18	0	0	0	2	35	0	0	0	0
Zotu288	25	95	1	2	4	77	0	0	0	0
Zotu646	89	6	0	0	0	0	0	0	0	0
Zotu208	223	2	5	2	1	6	0	0	1	4
Zotu1125	9	18	2	10	4	11	0	0	0	0
Zotu2842	8	0	0	15	14	8	0	0	0	0
Zotu319	169	0	0	0	0	0	0	0	0	0
Zotu874	56	0	0	0	0	0	0	0	0	0
Zotu2546	12	3	1	0	0	0	0	0	0	0
Zotu216	244	0	0	0	1	0	0	0	0	0
Zotu1064	49	0	0	0	0	0	0	0	0	0
Zotu197	104	33	10	0	43	58	0	1	0	0
Zotu3430	10	0	2	0	0	0	0	0	0	0
Zotu343	122	10	7	4	5	0	3	0	0	1
Zotu4352	1	9	0	0	2	4	0	0	0	0
Zotu108	62	114	145	98	13	91	4	0	6	0
Zotu1608	30	0	2	0	0	0	0	0	0	0
Zotu303	141	2	11	1	2	0	0	0	0	0
Zotu1812	7	12	9	0	13	42	2	0	4	0
Zotu326	33	10	9	6	21	99	0	1	1	3
Zotu3037	13	0	3	0	0	0	0	0	0	0
Zotu981	6	19	12	0	0	11	0	0	4	0
Zotu2712	14	0	0	0	0	6	0	0	0	0
Zotu4419	17	1	1	0	0	8	0	0	0	0
Zotu1911	5	22	5	2	0	6	0	0	0	0
Zotu223	33	107	14	94	0	9	0	0	0	0
Zotu652	76	0	1	0	0	0	0	0	0	0
Zotu317	153	2	0	0	0	0	0	0	0	0
Zotu3356	15	18	4	6	1	28	3	0	6	0
Zotu4346	7	5	0	0	2	0	0	0	0	0
Zotu4297	11	0	0	0	0	0	0	0	0	0
Zotu1155	52	0	2	0	0	3	1	0	0	0
Zotu868	61	0	0	0	0	1	0	0	0	0
Zotu1982	29	0	0	0	0	0	0	0	0	0
Zotu2079	22	4	5	0	0	2	0	0	0	0
Zotu136	204	23	95	0	5	7	1	3	0	0
Zotu887	61	0	0	0	0	0	0	0	0	0
Zotu441	10	9	3	8	90	13	0	0	0	0
Zotu28	65	170	19	72	27	17	121	916	169	347
Zotu939	61	0	0	0	0	0	0	0	0	0
Zotu1205	27	2	18	0	0	0	0	0	0	0
Zotu2033	3	13	5	2	0	7	0	0	1	0
Zotu1802	21	8	2	1	2	2	0	0	0	0
Zotu126	85	73	153	9	10	12	4	1	0	0
Zotu2833	1	24	0	3	5	0	0	0	0	0
Zotu1106	16	4	26	0	14	2	0	0	0	0
Zotu162	273	23	19	1	1	2	0	0	0	0
Zotu330	62	23	60	0	1	19	0	0	0	0
Zotu462	25	5	3	37	7	52	0	0	1	0
Zotu87	118	55	47	359	0	2	18	2	3	2
Zotu1420	7	19	15	5	0	1	0	0	0	0
Zotu1622	26	1	0	0	3	2	0	0	5	0
Zotu2011	23	0	0	0	0	0	0	0	0	0
Zotu1304	2	0	0	0	3	0	0	3	4	28
Zotu27	194	30	14	40	1019	1	27	0	612	1
Zotu1328	7	4	42	0	0	0	0	0	0	0
Zotu1202	38	0	2	0	0	1	0	0	0	0
Zotu2781	4	22	1	1	0	0	0	0	0	0
Zotu105	57	141	154	81	4	21	8	0	2	4
Zotu966	35	3	13	0	0	1	0	0	0	0
Zotu1076	39	5	11	0	0	2	0	0	0	0
Zotu816	64	12	0	0	0	0	0	0	0	0
Zotu2581	12	0	6	0	0	0	0	0	0	0
Zotu4033	1	3	12	0	0	0	0	0	0	0
Zotu446	82	1	14	4	25	4	0	0	1	1
Zotu352	74	7	32	15	14	16	3	0	10	1
Zotu3367	12	1	4	0	0	0	0	0	0	0
Zotu1621	16	21	0	0	0	1	0	0	0	0
Zotu2046	23	0	0	0	0	0	0	0	0	0
Zotu2756	13	0	0	0	0	0	0	0	0	0
Zotu602	67	3	0	1	1	16	0	0	0	0
Zotu1233	3	1	0	1	3	38	1	0	5	0
Zotu802	66	0	0	0	0	0	0	0	0	0
Zotu2151	11	0	1	0	1	8	0	0	0	0
Zotu186	13	49	44	152	3	22	0	0	8	0
Zotu1540	20	4	13	0	0	1	0	0	0	0
Zotu766	49	7	17	0	0	0	0	0	0	0
Zotu419	124	0	6	0	1	0	0	0	0	0
Zotu2703	21	1	1	0	0	2	1	0	0	0
Zotu3435	16	0	0	0	0	0	0	0	0	0
Zotu1029	32	14	0	0	0	2	0	0	0	0
Zotu808	3	70	2	7	1	1	0	0	0	0
Zotu454	8	2	2	4	5	0	4	73	7	16
Zotu2678	17	0	0	0	0	0	0	0	0	0
Zotu1632	38	0	0	0	0	1	0	0	0	0
Zotu3095	1	5	11	2	12	13	0	0	0	1
Zotu875	35	14	33	2	0	1	0	0	0	0
Zotu644	35	1	8	1	6	18	2	0	19	0
Zotu3292	2	11	0	0	0	0	0	0	0	0
Zotu3293	3	22	0	0	0	0	0	0	0	0
Zotu406	101	1	16	0	1	0	0	0	0	0
Zotu4280	5	0	5	0	1	2	1	0	0	0
Zotu1158	9	0	2	4	5	25	1	0	9	0
Zotu2432	10	5	0	4	13	3	0	3	8	0
Zotu1257	1	1	0	0	1	0	0	0	39	0
Zotu1912	2	32	0	4	1	10	3	0	0	0
Zotu222	5	70	104	43	0	0	3	0	0	5
Zotu643	13	19	38	8	0	1	0	0	1	1
Zotu1270	5	13	23	1	0	0	0	0	0	0
Zotu118	13	61	188	17	16	87	22	3	27	1
Zotu930	25	16	2	3	0	8	0	0	1	1
Zotu1244	40	0	3	7	1	1	0	0	0	0
Zotu686	18	49	17	4	0	8	0	0	0	0
Zotu4442	4	2	1	3	2	5	0	0	0	0
Zotu4333	1	11	0	0	2	1	0	0	0	0
Zotu1467	30	0	0	0	0	2	0	0	0	0
Zotu2713	9	4	4	0	0	0	0	0	0	0
Zotu1144	20	2	36	0	0	0	0	0	0	0
Zotu1330	18	3	8	2	0	6	0	0	0	0
Zotu18	172	1801	1	372	4	45	0	0	1	0
Zotu24	3	47	13	629	524	8	368	1	516	3
Zotu529	77	1	0	2	12	11	3	0	1	0
Zotu1927	1	15	8	0	1	0	0	0	0	0
Zotu3638	2	4	0	2	1	15	0	0	0	0
Zotu142	2	153	88	10	20	36	36	0	22	0
Zotu1464	15	1	1	3	0	15	0	0	1	0
Zotu747	59	0	0	0	1	0	0	0	0	0
